Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
60,150,80,20,0.0001,mse,1.1507
60,450,200,30,0.0001,mse,1.1518
70,300,80,5,0.0001,mse,1.1519
60,100,100,30,0.0001,mse,1.1526
70,150,200,5,0.0001,mse,1.1539
60,100,100,5,0.0001,mse,1.1545
60,100,20,5,0.0001,mse,1.1547
60,150,80,30,0.0001,mse,1.1549
60,150,100,5,0.0001,mse,1.1555
70,300,100,15,0.0001,mse,1.1568
60,150,100,50,0.0001,mse,1.1578
60,450,20,10,0.0001,mse,1.1608
70,100,200,50,0.0001,mse,1.1610
70,300,20,50,0.0001,mse,1.1610
70,300,80,50,0.0001,mse,1.1617
70,150,60,5,0.0001,mse,1.1627
60,300,40,20,0.0001,mse,1.1638
60,100,40,15,0.0001,mse,1.1650
60,450,40,5,0.0001,mse,1.1666
60,100,40,10,0.0001,mse,1.1668
60,300,80,30,0.0001,mse,1.1668
60,100,20,15,0.0001,mse,1.1670
60,300,60,15,0.0001,mse,1.1671
60,450,20,30,0.0001,mse,1.1700
60,300,60,50,0.0001,mse,1.1711
70,450,100,10,0.0001,mse,1.1713
60,300,60,30,0.0001,mse,1.1735
60,150,200,15,0.0001,mse,1.1736
70,300,200,5,0.0001,mse,1.1743
70,300,60,15,0.0001,mse,1.1745
60,150,100,10,0.0001,mse,1.1754
70,100,80,15,0.0001,mse,1.1754
60,300,20,50,0.0001,mse,1.1757
70,100,100,5,0.0001,mse,1.1767
70,150,100,15,0.0001,mse,1.1769
60,100,200,50,0.0001,mse,1.1782
70,450,100,50,0.0001,mse,1.1783
70,300,100,20,0.0001,mse,1.1795
60,150,200,20,0.0001,mse,1.1812
70,150,200,20,0.0001,mse,1.1815
60,150,40,5,0.0001,mse,1.1821
70,300,200,50,0.0001,mse,1.1829
60,100,200,30,0.0001,mse,1.1841
60,100,80,10,0.0001,mse,1.1842
70,450,80,15,0.0001,mse,1.1858
60,450,80,20,0.0001,mse,1.1863
60,150,80,15,0.0001,mse,1.1874
60,150,60,30,0.0001,mse,1.1906
70,450,40,5,0.0001,mse,1.1933
60,300,80,20,0.0001,mse,1.1950
60,450,40,10,0.0001,mse,1.1987
60,450,100,5,0.0001,mse,1.1989
70,450,80,5,0.0001,mse,1.2021
60,450,60,5,0.0001,mse,1.2022
70,150,60,30,0.0001,mse,1.2024
60,100,20,50,0.0001,mse,1.2037
60,150,200,5,0.0001,mse,1.2060
60,450,80,30,0.0001,mse,1.2073
70,100,60,10,0.0001,mse,1.2085
70,450,60,50,0.0001,mse,1.2085
60,450,40,50,0.0001,mse,1.2140
60,150,20,5,0.0001,mse,1.2153
60,300,40,50,0.0001,mse,1.2153
60,100,60,30,0.0001,mse,1.2184
60,450,200,50,0.0001,mse,1.2245
60,100,80,20,0.0001,mse,1.2498
60,150,40,10,0.0001,mse,1.2566
70,450,200,50,0.0001,mse,1.2626
60,100,60,5,0.0001,mse,1.2644
60,100,40,5,0.0001,mse,1.2664
60,450,40,20,0.0001,mse,1.2699
70,450,100,15,0.0001,mse,1.2726
60,450,80,5,0.0001,mse,1.2892
60,300,100,5,0.0001,mse,1.2999
70,300,40,20,0.0001,mse,1.3031
60,300,60,5,0.0001,mse,1.3054
70,300,60,10,0.0001,mse,1.3065
60,150,60,50,0.0001,mse,1.3237
60,100,20,30,0.0001,mse,1.3354
60,300,20,15,0.0001,mse,1.3452
60,150,60,5,0.0001,mse,1.4198
40,450,100,15,0.0001,mse,2.0803
40,300,80,50,0.0001,mse,2.0960
40,150,40,20,0.0001,mse,2.1004
40,100,80,50,0.0001,mse,2.1088
40,300,100,10,0.0001,mse,2.1133
40,450,60,10,0.0001,mse,2.1244
40,100,100,10,0.0001,mse,2.1275
40,150,20,30,0.0001,mse,2.1368
40,100,20,10,0.0001,mse,2.1386
40,450,100,20,0.0001,mse,2.1433
40,100,40,50,0.0001,mse,2.1440
40,450,200,10,0.0001,mse,2.1441
40,100,100,30,0.0001,mse,2.1458
40,150,40,5,0.0001,mse,2.1461
40,450,80,15,0.0001,mse,2.1462
40,300,100,15,0.0001,mse,2.1464
40,450,200,50,0.0001,mse,2.1467
40,100,200,15,0.0001,mse,2.1469
40,150,100,5,0.0001,mse,2.1478
40,100,20,5,0.0001,mse,2.1483
40,450,20,5,0.0001,mse,2.1487
40,150,80,50,0.0001,mse,2.1522
40,450,60,30,0.0001,mse,2.1545
40,150,80,20,0.0001,mse,2.1555
40,150,100,10,0.0001,mse,2.1565
40,150,100,50,0.0001,mse,2.1576
40,450,40,20,0.0001,mse,2.1593
40,100,200,5,0.0001,mse,2.1614
40,100,60,10,0.0001,mse,2.1619
40,300,40,10,0.0001,mse,2.1669
40,100,40,20,0.0001,mse,2.1673
40,150,60,30,0.0001,mse,2.1688
40,450,40,50,0.0001,mse,2.1688
40,100,40,15,0.0001,mse,2.1706
40,150,20,5,0.0001,mse,2.1706
40,100,40,30,0.0001,mse,2.1712
40,100,200,10,0.0001,mse,2.1726
40,300,200,30,0.0001,mse,2.1738
40,300,40,30,0.0001,mse,2.1739
40,450,100,50,0.0001,mse,2.1769
40,150,80,30,0.0001,mse,2.1790
40,100,100,20,0.0001,mse,2.1792
40,300,100,30,0.0001,mse,2.1799
40,300,80,15,0.0001,mse,2.1804
40,150,20,10,0.0001,mse,2.1806
40,300,20,20,0.0001,mse,2.1831
40,300,80,5,0.0001,mse,2.1832
40,100,60,30,0.0001,mse,2.1841
40,150,200,20,0.0001,mse,2.1841
40,300,200,50,0.0001,mse,2.1841
40,150,20,20,0.0001,mse,2.1899
40,100,80,30,0.0001,mse,2.1905
40,100,100,15,0.0001,mse,2.1915
40,300,40,20,0.0001,mse,2.1919
40,450,20,50,0.0001,mse,2.1925
40,150,20,50,0.0001,mse,2.1933
40,100,80,20,0.0001,mse,2.1940
40,100,40,5,0.0001,mse,2.1948
40,150,100,20,0.0001,mse,2.1959
40,100,200,20,0.0001,mse,2.1972
40,100,200,30,0.0001,mse,2.1973
40,450,100,30,0.0001,mse,2.1975
40,150,100,15,0.0001,mse,2.1986
40,150,200,5,0.0001,mse,2.1988
40,150,200,10,0.0001,mse,2.2018
40,300,60,5,0.0001,mse,2.2039
40,450,100,5,0.0001,mse,2.2041
40,300,20,10,0.0001,mse,2.2045
40,300,60,15,0.0001,mse,2.2054
40,300,100,50,0.0001,mse,2.2056
40,450,200,20,0.0001,mse,2.2062
40,300,200,10,0.0001,mse,2.2073
40,150,80,10,0.0001,mse,2.2074
40,450,40,5,0.0001,mse,2.2079
40,450,20,20,0.0001,mse,2.2120
40,100,100,5,0.0001,mse,2.2123
40,150,40,15,0.0001,mse,2.2138
40,100,60,20,0.0001,mse,2.2141
40,450,60,5,0.0001,mse,2.2149
40,150,100,30,0.0001,mse,2.2165
40,100,80,15,0.0001,mse,2.2176
40,150,60,10,0.0001,mse,2.2178
40,450,20,15,0.0001,mse,2.2194
40,300,60,20,0.0001,mse,2.2197
40,450,60,20,0.0001,mse,2.2206
40,300,100,20,0.0001,mse,2.2257
40,450,80,5,0.0001,mse,2.2268
40,100,80,5,0.0001,mse,2.2288
40,100,20,15,0.0001,mse,2.2305
40,300,80,30,0.0001,mse,2.2315
40,150,60,50,0.0001,mse,2.2317
40,300,40,5,0.0001,mse,2.2326
40,300,80,10,0.0001,mse,2.2373
40,300,200,20,0.0001,mse,2.2374
40,150,80,5,0.0001,mse,2.2388
40,300,200,5,0.0001,mse,2.2400
40,150,40,30,0.0001,mse,2.2404
40,150,60,5,0.0001,mse,2.2409
40,450,20,10,0.0001,mse,2.2417
40,100,100,50,0.0001,mse,2.2421
40,300,100,5,0.0001,mse,2.2422
40,300,60,30,0.0001,mse,2.2424
40,150,200,30,0.0001,mse,2.2427
40,150,40,10,0.0001,mse,2.2430
40,450,40,30,0.0001,mse,2.2452
40,300,40,50,0.0001,mse,2.2483
40,300,80,20,0.0001,mse,2.2488
40,100,40,10,0.0001,mse,2.2494
40,150,60,15,0.0001,mse,2.2509
40,450,40,10,0.0001,mse,2.2511
40,450,200,30,0.0001,mse,2.2521
40,450,80,50,0.0001,mse,2.2560
40,100,80,10,0.0001,mse,2.2567
40,100,60,15,0.0001,mse,2.2585
40,300,200,15,0.0001,mse,2.2595
40,150,20,15,0.0001,mse,2.2642
40,300,60,10,0.0001,mse,2.2666
40,300,20,15,0.0001,mse,2.2680
40,450,80,30,0.0001,mse,2.2691
40,150,40,50,0.0001,mse,2.2701
40,150,60,20,0.0001,mse,2.2701
40,100,60,5,0.0001,mse,2.2740
40,450,60,15,0.0001,mse,2.2752
40,450,80,10,0.0001,mse,2.2755
40,300,20,5,0.0001,mse,2.2764
40,100,200,50,0.0001,mse,2.2781
40,300,40,15,0.0001,mse,2.2827
40,100,60,50,0.0001,mse,2.2906
40,300,60,50,0.0001,mse,2.2934
40,450,200,5,0.0001,mse,2.2941
40,450,200,15,0.0001,mse,2.2967
40,450,60,50,0.0001,mse,2.3011
40,300,20,30,0.0001,mse,2.3082
40,150,200,15,0.0001,mse,2.3125
40,100,20,50,0.0001,mse,2.3153
40,450,20,30,0.0001,mse,2.3186
40,150,200,50,0.0001,mse,2.3191
40,100,20,30,0.0001,mse,2.3206
40,450,80,20,0.0001,mse,2.3239
40,100,20,20,0.0001,mse,2.3289
40,150,80,15,0.0001,mse,2.3575
40,450,40,15,0.0001,mse,2.3607
40,450,100,10,0.0001,mse,2.3647
40,300,20,50,0.0001,mse,2.3876
20,300,200,30,0.0001,mse,3.5935
20,450,80,10,0.0001,mse,3.6060
20,300,40,20,0.0001,mse,3.6117
20,150,80,50,0.0001,mse,3.6159
20,150,20,30,0.0001,mse,3.6162
20,100,200,50,0.0001,mse,3.6163
20,150,200,5,0.0001,mse,3.6195
20,300,200,50,0.0001,mse,3.6198
20,100,40,30,0.0001,mse,3.6244
20,100,60,20,0.0001,mse,3.6262
20,150,60,50,0.0001,mse,3.6262
20,300,80,20,0.0001,mse,3.6271
20,300,60,30,0.0001,mse,3.6273
20,100,20,15,0.0001,mse,3.6280
20,100,200,15,0.0001,mse,3.6281
20,450,20,50,0.0001,mse,3.6295
20,150,60,5,0.0001,mse,3.6296
20,450,100,50,0.0001,mse,3.6297
20,100,20,5,0.0001,mse,3.6314
20,100,80,50,0.0001,mse,3.6321
20,300,200,20,0.0001,mse,3.6322
20,100,60,50,0.0001,mse,3.6324
20,150,100,30,0.0001,mse,3.6329
20,300,100,30,0.0001,mse,3.6329
20,100,100,15,0.0001,mse,3.6338
20,150,60,20,0.0001,mse,3.6341
20,100,200,20,0.0001,mse,3.6359
20,100,80,10,0.0001,mse,3.6362
20,100,200,10,0.0001,mse,3.6365
20,150,40,15,0.0001,mse,3.6365
20,300,20,50,0.0001,mse,3.6365
20,300,40,50,0.0001,mse,3.6370
20,100,40,15,0.0001,mse,3.6371
20,100,200,30,0.0001,mse,3.6373
20,150,60,15,0.0001,mse,3.6397
20,450,40,50,0.0001,mse,3.6398
20,100,100,5,0.0001,mse,3.6410
20,100,100,10,0.0001,mse,3.6410
20,100,100,20,0.0001,mse,3.6416
20,300,100,20,0.0001,mse,3.6416
20,100,60,5,0.0001,mse,3.6432
20,100,40,20,0.0001,mse,3.6435
20,150,60,30,0.0001,mse,3.6435
20,450,40,15,0.0001,mse,3.6435
20,300,60,15,0.0001,mse,3.6443
20,150,20,50,0.0001,mse,3.6447
20,450,80,5,0.0001,mse,3.6465
20,450,40,20,0.0001,mse,3.6473
20,450,200,10,0.0001,mse,3.6473
20,300,60,20,0.0001,mse,3.6474
20,450,100,30,0.0001,mse,3.6476
20,100,20,30,0.0001,mse,3.6484
20,100,40,5,0.0001,mse,3.6484
20,450,20,30,0.0001,mse,3.6484
20,100,60,30,0.0001,mse,3.6498
20,150,20,20,0.0001,mse,3.6510
20,150,200,10,0.0001,mse,3.6515
20,300,100,15,0.0001,mse,3.6521
20,150,40,5,0.0001,mse,3.6529
20,450,200,15,0.0001,mse,3.6540
20,100,80,20,0.0001,mse,3.6542
20,300,100,10,0.0001,mse,3.6544
20,150,80,30,0.0001,mse,3.6549
20,300,20,10,0.0001,mse,3.6561
20,100,80,30,0.0001,mse,3.6564
20,450,80,50,0.0001,mse,3.6567
20,100,20,10,0.0001,mse,3.6576
20,150,200,30,0.0001,mse,3.6579
20,300,80,30,0.0001,mse,3.6579
20,150,200,20,0.0001,mse,3.6583
20,150,80,10,0.0001,mse,3.6589
20,150,40,30,0.0001,mse,3.6596
20,150,100,20,0.0001,mse,3.6597
20,100,20,5,0.0001,mse,3.6602
20,100,20,5,0.0001,mse,3.6611
20,150,200,50,0.0001,mse,3.6613
20,450,20,15,0.0001,mse,3.6616
20,100,20,20,0.0001,mse,3.6624
20,100,60,15,0.0001,mse,3.6632
20,450,80,20,0.0001,mse,3.6642
20,450,40,10,0.0001,mse,3.6661
20,150,20,15,0.0001,mse,3.6669
20,450,100,10,0.0001,mse,3.6671
20,100,40,10,0.0001,mse,3.6681
20,100,80,15,0.0001,mse,3.6681
20,300,40,15,0.0001,mse,3.6685
20,150,100,5,0.0001,mse,3.6686
20,450,60,50,0.0001,mse,3.6707
20,150,40,20,0.0001,mse,3.6708
20,300,20,15,0.0001,mse,3.6721
20,150,60,10,0.0001,mse,3.6722
20,100,40,50,0.0001,mse,3.6725
20,450,60,10,0.0001,mse,3.6730
20,100,20,50,0.0001,mse,3.6741
20,300,60,50,0.0001,mse,3.6745
20,300,20,5,0.0001,mse,3.6751
20,300,60,5,0.0001,mse,3.6753
20,300,80,5,0.0001,mse,3.6753
20,100,200,5,0.0001,mse,3.6757
20,450,100,20,0.0001,mse,3.6769
20,450,60,15,0.0001,mse,3.6782
20,300,20,30,0.0001,mse,3.6789
20,300,100,50,0.0001,mse,3.6805
20,300,200,10,0.0001,mse,3.6805
20,450,200,50,0.0001,mse,3.6844
20,150,100,10,0.0001,mse,3.6866
20,150,200,15,0.0001,mse,3.6870
20,150,40,10,0.0001,mse,3.6873
20,450,60,30,0.0001,mse,3.6897
20,100,80,5,0.0001,mse,3.6913
20,450,20,20,0.0001,mse,3.6914
20,300,40,10,0.0001,mse,3.6921
20,450,20,10,0.0001,mse,3.6925
20,450,200,20,0.0001,mse,3.6929
20,450,200,5,0.0001,mse,3.6942
20,150,80,20,0.0001,mse,3.6957
20,450,60,20,0.0001,mse,3.6983
