Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
60,300,40,10,0.0001,mse,0.4732
40,150,60,150,0.0001,mse,0.4737
40,300,20,200,0.0001,mse,0.4741
80,150,100,100,0.0001,mse,0.4742
100,100,60,200,0.0001,mse,0.4743
100,150,60,150,0.0001,mse,0.4748
100,150,100,30,0.0001,mse,0.4749
100,300,200,50,0.0001,mse,0.4749
100,300,40,30,0.0001,mse,0.4750
100,150,60,30,0.0001,mse,0.4754
60,100,80,30,0.0001,mse,0.4757
80,150,60,150,0.0001,mse,0.4758
60,100,200,200,0.0001,mse,0.4759
60,100,40,50,0.0001,mse,0.4761
60,300,60,100,0.0001,mse,0.4769
80,100,200,30,0.0001,mse,0.4770
80,300,100,150,0.0001,mse,0.4770
60,300,80,10,0.0001,mse,0.4771
60,300,200,30,0.0001,mse,0.4772
60,100,20,100,0.0001,mse,0.4780
100,300,20,200,0.0001,mse,0.4780
40,300,100,30,0.0001,mse,0.4783
40,300,20,150,0.0001,mse,0.4791
100,150,100,200,0.0001,mse,0.4793
80,150,60,10,0.0001,mse,0.4794
100,100,80,150,0.0001,mse,0.4794
80,150,20,50,0.0001,mse,0.4796
40,300,60,50,0.0001,mse,0.4799
100,100,200,50,0.0001,mse,0.4799
80,150,40,200,0.0001,mse,0.4800
40,300,20,100,0.0001,mse,0.4808
100,100,80,100,0.0001,mse,0.4809
40,150,60,200,0.0001,mse,0.4822
100,300,200,150,0.0001,mse,0.4823
100,100,40,150,0.0001,mse,0.4824
100,100,80,30,0.0001,mse,0.4825
100,300,80,10,0.0001,mse,0.4834
100,100,80,50,0.0001,mse,0.4835
80,300,200,50,0.0001,mse,0.4845
40,100,200,200,0.0001,mse,0.4847
40,300,100,150,0.0001,mse,0.4847
60,150,200,150,0.0001,mse,0.4864
40,150,20,30,0.0001,mse,0.4868
80,100,200,50,0.0001,mse,0.4868
60,150,60,10,0.0001,mse,0.4871
40,100,80,10,0.0001,mse,0.4873
40,300,100,100,0.0001,mse,0.4876
40,100,20,30,0.0001,mse,0.4880
80,300,40,200,0.0001,mse,0.4887
100,300,20,30,0.0001,mse,0.4896
80,300,200,30,0.0001,mse,0.4897
60,100,60,50,0.0001,mse,0.4908
40,300,200,50,0.0001,mse,0.4909
80,150,40,10,0.0001,mse,0.4915
40,300,80,30,0.0001,mse,0.4917
100,300,20,10,0.0001,mse,0.4917
40,100,100,150,0.0001,mse,0.4918
40,150,200,200,0.0001,mse,0.4920
40,300,40,50,0.0001,mse,0.4925
60,100,20,10,0.0001,mse,0.4933
100,300,60,10,0.0001,mse,0.4941
40,100,20,50,0.0001,mse,0.4943
60,300,60,200,0.0001,mse,0.4945
60,100,200,30,0.0001,mse,0.4950
100,300,80,30,0.0001,mse,0.4953
40,150,40,200,0.0001,mse,0.4956
40,150,100,200,0.0001,mse,0.4966
100,100,100,30,0.0001,mse,0.4967
40,150,80,150,0.0001,mse,0.4969
60,100,60,30,0.0001,mse,0.4972
40,100,100,10,0.0001,mse,0.4973
40,150,40,50,0.0001,mse,0.4974
80,300,40,50,0.0001,mse,0.4977
80,300,40,150,0.0001,mse,0.4982
40,300,40,30,0.0001,mse,0.4987
80,100,100,150,0.0001,mse,0.4992
80,150,40,150,0.0001,mse,0.4997
100,150,100,10,0.0001,mse,0.5000
40,100,100,200,0.0001,mse,0.5006
40,100,80,150,0.0001,mse,0.5011
100,300,100,150,0.0001,mse,0.5012
40,100,40,50,0.0001,mse,0.5014
60,150,100,200,0.0001,mse,0.5014
40,100,60,200,0.0001,mse,0.5016
40,150,80,50,0.0001,mse,0.5018
40,100,40,200,0.0001,mse,0.5019
40,300,100,50,0.0001,mse,0.5019
80,150,80,10,0.0001,mse,0.5022
100,100,20,150,0.0001,mse,0.5022
40,300,80,200,0.0001,mse,0.5024
100,300,200,30,0.0001,mse,0.5028
80,100,60,50,0.0001,mse,0.5035
40,300,80,150,0.0001,mse,0.5037
40,150,80,200,0.0001,mse,0.5040
40,300,60,100,0.0001,mse,0.5040
60,150,100,10,0.0001,mse,0.5041
40,100,60,30,0.0001,mse,0.5043
60,150,200,10,0.0001,mse,0.5051
80,300,100,10,0.0001,mse,0.5051
40,150,100,150,0.0001,mse,0.5056
40,100,40,30,0.0001,mse,0.5058
80,100,40,10,0.0001,mse,0.5064
